sex,unpaid_hours_category,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years and over
MALES,nil_hours,314025,326061,302023,248968,211827,174583,170132,177851,182824,182372,172489,169608,130917,95786,98954
MALES,Less than 5 hours,319655,268555,250065,230555,209683,187703,191943,191888,178972,155293,115382,90856,59937,36681,27072
MALES,5 to 14 hours,60171,126494,208715,265480,292544,276406,275076,264747,245284,222081,183070,151427,94851,52213,31309
MALES,15 to 29 hours,5592,17456,35555,60297,83573,82174,78296,71225,69135,73777,77689,73388,48830,26966,15352
MALES,30 hours or more,2694,8087,15424,26306,36625,35296,32467,29755,30630,35764,40707,41627,30051,18483,11088
MALES,Total,702136,746655,811782,831609,834252,756161,747912,735465,706846,669285,589340,526910,364586,230123,183772
FEMALES,nil_hours,250484,225875,209162,181117,145913,117512,117208,125182,135128,147642,154570,159180,132802,112926,165908
FEMALES,Less than 5 hours,317315,244967,185227,133515,97025,80756,86760,92442,88917,77106,55213,44534,34904,29844,34385
FEMALES,5 to 14 hours,84229,191229,273036,283859,273078,262914,284567,289504,264908,228998,170675,129174,82993,52697,42169
FEMALES,15 to 29 hours,9904,39495,83052,137941,178685,176848,176992,168276,157272,156083,143960,123850,76250,40129,22961
FEMALES,30 hours or more,4031,23127,74672,153863,188319,152061,125329,108311,103058,111024,113804,107820,70925,36878,17362
FEMALES,Total,665962,724687,825154,890302,883024,790091,790863,783718,749284,720853,638227,564563,397873,272469,282781
